section,total_time_us,calls,avg_us
encodeLayer,910755225.6,267,3411068.261
encodeWeights,910754738.5,267,3411066.436
xEncodeWeights,910754595.0,267,3411065.899
xEncodeWeightsBase,910720882.9,534,1705469.818
pseudoEncodeWeightVal,708734983.4,25562088,27.726
pseudoEncodeBin,626771583.983,330298638,1.898
SBMPCtxOptimizer_accumulateBits,508552456.263,330298638,1.54
xEncWeight,178866718.701,25562088,6.997
encodeBin,120770876.446,251560694,0.48
pseudoEncodeRemAbsLevelNew,119097699.7,14654319,8.127
SBMPCtxOptimizer_getBits,80772258.139,2972687742,0.027
SBMPCtx_updateState,21341142.824,754682082,0.028
SBMPCtx_getMinusMPS,20555159.512,754682082,0.027
ContextModeler_getGtxCtxId,20547396.412,750220373,0.027
SBMPCtx_getRLPS,15427540.162,754682082,0.02
SBMPCtxOptimizer_updateStates,14810222.664,330298638,0.045
xEncRemAbs,14647862.599,7839759,1.868
ContextModeler_getSigCtxId,2798046.901,102248352,0.027
ContextModeler_updateNeighborCtx,2745460.101,102248352,0.027
ContextModeler_updateHdspEnabled,2737340.701,102248352,0.027
ContextModeler_getSignFlagCtxId,2699299.401,98631520,0.027
write_out,391756.1,17731132,0.022
encodeBinsEP,333970.2,6961076,0.048
xShiftParameterIds,19051.3,267,71.353
xEncRowSkip,14348.3,54,265.709
SBMPCtx_initState,5365.9,206124,0.026
SBMPCtxOptimizer_initStates,1763.5,70488,0.025
SBMPCtxOptimizer_getBestIdx,628.0,21360,0.029
ContextModeler_resetNeighborCtx,31.1,1068,0.029
ContextModeler_init,30.1,1068,0.028
encodeBinEP,1.8,54,0.033
